galaxy,r_kpc,x,y,Rd_kpc
F574-1,8.92,1.663050847457627,0.028112539812822204,5.363636363636363
F574-1,9.87,1.8401694915254236,0.025858498358479465,5.363636363636363
F574-1,10.79,2.011694915254237,0.02371793622494407,5.363636363636363
F574-1,11.8,2.2,0.021597781151494924,5.363636363636363
F574-1,12.6,2.3491525423728814,0.020072969968776,5.363636363636363
IC2574,0.85,0.2987220447284345,0.0031599317834075454,2.8454545454545452
IC2574,1.14,0.40063897763578277,0.0036999132634069677,2.8454545454545452
IC2574,1.42,0.4990415335463259,0.005058531433755427,2.8454545454545452
IC2574,1.71,0.6009584664536741,0.005265040185147243,2.8454545454545452
IC2574,1.99,0.6993610223642173,0.00482606605465855,2.8454545454545452
IC2574,2.28,0.8012779552715655,0.008224780349874679,2.8454545454545452
IC2574,2.55,0.8961661341853036,0.008186384394484509,2.8454545454545452
IC2574,2.84,0.9980830670926518,0.008504539510543852,2.8454545454545452
IC2574,3.13,1.1,0.009771128210918658,2.8454545454545452
IC2574,3.41,1.1984025559105433,0.010044130095908333,2.8454545454545452
IC2574,3.7,1.3003194888178915,0.009410302721888222,2.8454545454545452
IC2574,3.98,1.3987220447284345,0.011321378797197471,2.8454545454545452
IC2574,4.26,1.4971246006389776,0.00865966443695219,2.8454545454545452
IC2574,4.55,1.599041533546326,0.010004799457531754,2.8454545454545452
IC2574,4.84,1.700958466453674,0.008306463750477895,2.8454545454545452
IC2574,5.12,1.7993610223642174,0.009225608798364928,2.8454545454545452
IC2574,5.41,1.9012779552715657,0.009200648855185784,2.8454545454545452
IC2574,5.68,1.9961661341853036,0.00934563047823234,2.8454545454545452
IC2574,5.97,2.098083067092652,0.009609912007517376,2.8454545454545452
IC2574,6.26,2.2,0.010385200171657916,2.8454545454545452
IC2574,6.54,2.298402555910543,0.011176907280927219,2.8454545454545452
IC2574,6.83,2.4003194888178916,0.011224310276410755,2.8454545454545452
IC2574,7.1,2.4952076677316293,0.011127932998264738,2.8454545454545452
IC2574,7.39,2.5971246006389777,0.011555177366384247,2.8454545454545452
IC2574,7.68,2.699041533546326,0.012382678703228907,2.8454545454545452
IC2574,7.96,2.797444089456869,0.01107127629804638,2.8454545454545452
IC2574,8.25,2.8993610223642174,0.00907231378061648,2.8454545454545452
IC2574,8.52,2.994249201277955,0.013371858796600735,2.8454545454545452
IC2574,8.81,3.096166134185304,0.01132970420668934,2.8454545454545452
IC2574,9.1,3.198083067092652,0.011136032436614204,2.8454545454545452
IC2574,9.38,3.2964856230031954,0.012962284692897402,2.8454545454545452
IC2574,9.67,3.3984025559105433,0.011983537217128136,2.8454545454545452
IC2574,9.96,3.500319488817892,0.012372398436393586,2.8454545454545452
IC2574,10.23,3.59520766773163,0.012024197013356589,2.8454545454545452
