galaxy,radius,var_loglik,v_obs,v_model_mean
ESO563-G021,20.3,0.24920176998243274,319.0,300.7129160863862
ESO563-G021,21.94,0.12058885897567101,318.0,304.9093587356817
ESO563-G021,23.68,0.07727698217581216,317.0,308.0926954952674
ESO563-G021,25.41,0.17123473249263335,317.0,304.98328678238147
ESO563-G021,27.06,0.09681676263123001,312.0,301.7128778688004
ESO563-G021,28.8,0.17792470943134855,312.0,297.19016733150227
ESO563-G021,30.53,0.13837327624552287,311.0,292.7941336448464
ESO563-G021,32.18,0.08701359013933782,310.0,290.1831813927342
ESO563-G021,33.91,0.09598696783603013,313.0,288.36600918431714
ESO563-G021,35.65,0.6090141878866808,320.0,285.9027210731728
ESO563-G021,37.3,0.7946844968842428,321.0,284.13212274696997
ESO563-G021,39.03,0.7954303690702909,320.0,281.8746496971863
ESO563-G021,40.76,0.46906360666598296,315.0,279.81410837375864
ESO563-G021,42.41,0.47086146208660257,312.0,278.3627139880271
F568-3,0.64,0.0050143384042921615,12.4,22.3475626970728
F568-3,1.18,0.014824207845894147,21.9,32.76500179521204
F568-3,1.8,0.021665465098072174,32.3,41.778130359153856
F568-3,2.03,0.009202366718122391,37.9,44.625718449668284
F568-3,2.78,0.0009030050247195073,53.1,53.51923784692209
F568-3,3.0,0.0024233354388732407,62.4,55.82603698280565
F568-3,3.64,0.0036804235158290153,68.0,61.974549284143194
F568-3,4.19,0.012442350664251638,78.0,66.74870520482217
F568-3,4.6,0.02026952749731615,82.3,69.25366286465763
F568-3,5.14,0.01995908334534177,85.7,72.10121506378475
F568-3,5.39,0.01279401406924301,85.5,73.74798485866087
F568-3,6.31,0.0020547166576557053,89.5,80.10186151041717
F568-3,9.1,0.00032318401466678375,95.2,94.4774408617944
F568-3,10.17,0.0014249361066672286,97.5,99.55409099081157
F568-3,11.99,0.0018119718967047815,101.0,105.87365208717517
F568-3,14.02,0.0011931037482258555,107.0,110.88031021223475
F568-3,15.94,0.00020263501951643448,117.0,115.56002900524176
F568-3,17.98,0.00021865565666376175,120.0,118.79187341365933
F568-V1,0.39,7.555844695301519e-06,17.4,19.12844690449824
F568-V1,1.18,4.25812870431452e-05,46.3,39.729704054112666
F568-V1,1.95,0.01933061920160623,69.1,48.96904338746814
F568-V1,2.74,0.17922102174284768,85.2,54.441655386891775
F568-V1,3.53,0.17851491282395915,93.2,61.321916442345405
F568-V1,4.3,0.07171740004860445,100.0,67.37431824854659
F568-V1,5.09,0.19121493357830813,108.0,71.45276638540186
F568-V1,5.87,0.1811799718187016,112.0,74.19176786477888
F568-V1,6.4,0.014325090613492379,113.0,76.40600277263654
F568-V1,7.44,0.02912161772425177,113.0,81.22158393767502
F568-V1,8.21,0.022417952544192224,112.0,84.83468740888046
F568-V1,9.0,0.002761134873220135,111.0,87.49846158065937
F568-V1,9.72,0.0033238916643990326,111.0,90.69827862602612
F568-V1,11.79,0.0010064128234947751,113.0,99.75140861932596
F568-V1,17.63,0.0002684512703038379,118.0,106.44752536154803
F574-1,0.47,0.004825635087290553,15.3,21.76049667943676
F574-1,1.41,0.01671149440936564,41.0,47.015487640501505
F574-1,2.35,0.002762260122991724,60.7,59.60088293838587
F574-1,3.29,0.06283535989840784,74.9,65.16762873724718
F574-1,4.22,0.07402947863828005,83.0,70.71924614561081
F574-1,5.17,0.07457612459701621,86.8,76.43701377314996
F574-1,6.11,0.03904301475884513,89.4,81.87565589593363
F574-1,7.05,0.0296463574285842,92.5,85.75418593569304
F574-1,7.99,0.014316084327105679,94.7,89.98007929136551
F574-1,8.92,0.008068838107248117,96.3,92.63921914777721
F574-1,9.87,0.0022950809889789813,97.8,96.8307186890323
F574-1,10.79,0.004214599103877909,98.8,100.99455772647309
F574-1,11.8,0.013356591450289924,99.5,105.0844739845638
F574-1,12.6,0.020141316657546378,99.7,107.71518833502137
IC2574,0.85,0.016328421177820397,10.3,15.919417594997585
IC2574,1.14,0.023310316379419077,12.9,19.18970884585589
IC2574,1.42,0.025191443526124097,16.4,21.90207020056726
IC2574,1.71,0.033656954255278045,18.6,25.25614407499953
IC2574,1.99,0.056340053300216936,19.8,28.54110089651096
IC2574,2.28,0.020368194453485308,26.1,30.715473127096725
IC2574,2.55,0.02185870541718187,27.7,33.07443002915628
IC2574,2.84,0.022045003344396026,29.7,34.99755252843459
IC2574,3.13,0.010697218333120335,33.0,36.73953367046131
IC2574,3.41,0.012381665735778133,34.8,38.240183786518564
IC2574,3.7,0.01562192651257253,35.0,38.81008182374736
IC2574,3.98,0.0004201535801795168,39.0,38.93896082641503
IC2574,4.26,0.011644052282392993,35.9,40.11204232852771
IC2574,4.55,0.011624268359437577,40.0,43.698769659288466
IC2574,4.84,0.0746619024789491,38.7,46.85286000961057
IC2574,5.12,0.062435173867654695,41.8,49.18718598458019
IC2574,5.41,0.06696526139765338,42.9,50.521178203507134
