galaxy,radius,var_loglik,v_obs,v_model_mean
NGC2403,10.93,0.03626707835669866,128.0,118.3255861803193
NGC2403,11.43,0.04236174496955501,130.0,119.1181789144181
NGC2403,11.92,0.03274161424529955,130.0,119.64386205959339
NGC2403,12.42,0.03793453181125395,132.0,120.3124198739895
NGC2403,12.92,0.0395944155085349,133.0,120.83786227793173
NGC2403,13.42,0.03402476569363613,133.0,120.92714231255232
NGC2403,13.91,0.031830094129248386,133.0,120.78012873506302
NGC2403,14.41,0.03816650210831526,133.0,120.78961357149272
NGC2403,14.91,0.05283997872349339,134.0,120.81332586784717
NGC2403,15.4,0.05249591336080029,134.0,120.72473936638102
NGC2403,15.9,0.04561257404877302,133.0,120.54369491076484
NGC2403,16.4,0.04862221862154027,134.0,120.28209541422791
NGC2403,16.89,0.03932956025903452,134.0,119.78211157735431
NGC2403,17.39,0.057847453934504085,136.0,119.37986688868787
NGC2403,17.89,0.03618879395129681,136.0,118.85869549159008
NGC2403,18.38,0.021226978416751353,135.0,118.33931214324927
NGC2403,18.88,0.0204068975063032,133.0,117.79205753306522
NGC2403,19.38,0.034776115965122166,134.0,117.64806918319317
NGC2403,19.87,0.049908160653659175,136.0,117.92459864069092
NGC2403,20.37,0.04594257123396125,135.0,118.20158000697111
NGC2403,20.87,0.058453960170956484,134.0,118.5101011704323
NGC2683,2.89,0.11313337798213852,189.0,179.31972379807794
NGC2683,5.77,0.24605855645050864,212.0,204.85260656347313
NGC2683,8.66,0.47882727343666914,206.0,193.8112834809066
NGC2683,11.54,0.11732386839293982,200.0,194.07345368556105
NGC2683,14.43,0.0704267893752053,172.0,183.98465593206296
NGC2683,17.31,0.08174609434646275,190.0,178.31171004725852
NGC2683,20.2,0.01727440699424399,169.0,173.62127406978385
NGC2683,23.08,0.2050492928728318,150.0,169.7345406563447
NGC2683,28.85,0.015553217076911673,160.0,164.9090888262126
NGC2683,31.74,0.03529765944603677,155.0,163.20008706036953
NGC2683,34.62,0.03585683497326869,151.0,161.80145532885507
NGC2841,3.44,0.1414732246955656,285.0,264.2261007191719
NGC2841,3.77,0.43639231647764637,297.0,262.9324792846388
NGC2841,4.13,1.263222172521266,303.0,263.3046200366148
NGC2841,4.47,1.9488433656864765,306.0,263.8441310288879
NGC2841,4.8,1.9479710850358758,307.0,264.5103923475354
NGC2841,5.13,1.1198343752812712,304.0,265.5869782230394
NGC2841,5.48,1.2629415722176307,308.0,267.12636162742615
NGC2841,5.83,0.8224289833468433,313.0,268.29573626879323
NGC2841,6.16,1.3205736852795158,314.0,269.44938603824744
NGC2841,6.51,1.6293957468360747,315.0,272.57797843318946
NGC2841,6.86,1.2381357334359329,317.0,275.57083031825294
NGC2841,7.18,1.418489544414704,320.0,277.75132712305054
NGC2841,7.51,0.16765404998203592,316.0,279.98279936633713
NGC2841,7.85,0.10931755623719404,318.0,282.8861442946061
NGC2841,8.21,0.8453372021784624,321.0,285.34812077548355
NGC2841,8.57,0.8486626822785356,323.0,286.66187748427893
NGC2841,8.9,0.4140959823334347,321.0,287.3620273792006
NGC2841,9.24,0.5828035043828204,323.0,287.34963499780633
NGC2841,9.6,0.6304304077955311,323.0,287.0910228946414
NGC2841,9.93,0.37340473104466493,322.0,287.2537214662351
NGC2841,10.27,0.334646302590551,321.0,287.7885214958555
NGC2841,10.6,0.6480488653739895,323.0,288.21316738292523
NGC2841,10.93,0.4148963738019122,322.0,288.654385640795
NGC2841,11.27,0.424626512205948,321.0,288.9225563496954
NGC2841,12.31,1.0311383467337947,323.0,287.8982892774784
NGC2841,14.35,1.126638509001466,319.0,281.1214888813604
NGC2841,16.4,0.9191858575125269,308.0,272.9511767577066
NGC2841,18.48,0.6384590514013222,299.0,267.04824643079564
NGC2841,20.57,0.7371023854480586,299.0,263.5428851921066
NGC2841,22.51,0.6516704178351285,298.0,262.8373221335804
NGC2841,24.59,0.6122647654562626,296.0,260.73224698346365
NGC2841,26.68,0.7607861154033164,293.0,256.1152041636293
