gkey,galaxy_h,D_Mpc_h,h_arcsec,hz_e_hi_arcsec,hz_e_lo_arcsec,h_kpc,h_kpc_err_hi,h_kpc_err_lo,h_outlier_reason
NGC3065,NGC3065,34.033,3.951,11.852,0.79,0.651901112646353,1.9555383414539549,0.1303472232322498,huge_err_hi
NGC3073,NGC3073,23.2,5.205,15.614,1.041,0.585441058832085,1.7562106998278915,0.11708821176641698,huge_err_hi
NGC3166,NGC3166,22.0,9.83,29.491,1.966,1.0484570819091945,3.1454779046372385,0.2096914163818389,huge_err_hi
NGC3185,NGC3185,24.725,4.444,13.331,0.889,0.5327025913266914,1.5979879039100187,0.10656449227934939,huge_err_hi
NGC3277,NGC3277,25.0,4.608,13.824,0.922,0.5585048360119264,1.6755145080357792,0.11174944852495577,huge_err_hi
NGC3329,NGC3329,30.3,2.932,8.797,0.586,0.430706130463239,1.2922652897971056,0.08608246672969239,huge_err_hi
NGC3351,NGC3351,10.113,14.229,42.688,2.846,0.6976359392044215,2.09295684677478,0.13953699367318742,huge_err_hi
NGC3380,NGC3380,22.278,4.439,13.318,0.888,0.47944169878554294,1.4384331030470512,0.09590994109519309,huge_err_hi
NGC3384,NGC3384,11.586,10.314,30.941,2.063,0.5793421278452476,1.7379702130754127,0.11587965966111557,huge_err_hi
NGC3471,NGC3471,26.45,2.467,7.402,0.493,0.31635105325673285,0.9491813928683975,0.063218917412067,huge_err_hi
NGC3489,NGC3489,9.576,5.346,16.039,1.069,0.24819186968220497,0.7446220347611084,0.04962908879354229,huge_err_hi
NGC3504,NGC3504,20.05,5.962,17.887,1.192,0.5795365185562262,1.7387067607204325,0.11586842169054372,huge_err_hi
NGC3593,NGC3593,5.5,8.614,25.842,1.723,0.22968996194216182,0.6890698858264853,0.04594332533391511,huge_err_hi
NGC3599,NGC3599,19.657,5.924,17.771,1.185,0.5645556347417158,1.6935716044893705,0.11293018689549851,huge_err_hi
NGC3611,NGC3611,33.3,5.578,16.733,1.116,0.9005279616027926,2.701422442004218,0.1801701694422224,huge_err_hi
NGC3626,NGC3626,23.15,5.631,16.892,1.126,0.6319911279179696,1.8958611494921582,0.12637577873124378,huge_err_hi
NGC3637,NGC3637,28.2,4.708,14.125,0.942,0.6436651879863283,1.9311322812886338,0.12878772452912515,huge_err_hi
NGC3673,NGC3673,24.786,6.873,20.619,1.375,0.825899585484692,2.477698756454076,0.1652279834193877,huge_err_hi
NGC3681,NGC3681,24.2,3.237,9.711,0.647,0.3797803796087557,1.1393411388262673,0.07590914600150292,huge_err_hi
NGC3682,NGC3682,20.958,8.043,24.13,1.609,0.8172263544469492,2.4517806704966914,0.16348591375172716,huge_err_hi
NGC3729,NGC3729,20.183,5.325,15.976,1.065,0.521050469056796,1.5632492570237317,0.10421009381135918,huge_err_hi
NGC3730,NGC3730,23.847,1.791,5.373,0.358,0.20706361719147698,0.621190851574431,0.04138960075630863,huge_err_hi
NGC3773,NGC3773,17.0,3.356,10.067,0.671,0.2765956415291009,0.8297045063389329,0.05530264465614622,huge_err_hi
NGC3786,NGC3786,46.18,4.33,12.991,0.866,0.9694296172399584,2.9085127384675054,0.19388592344799166,huge_err_hi
NGC3885,NGC3885,27.8,7.068,21.203,1.414,0.952611446440259,2.857699561244031,0.19057620051875016,huge_err_hi
NGC3898,NGC3898,21.9,8.494,25.482,1.699,0.9018427750709039,2.7055283252127116,0.18038978983346665,huge_err_hi
NGC3900,NGC3900,33.8,4.595,13.784,0.919,0.7529682689743776,2.258740940052845,0.15059365379487555,huge_err_hi
NGC3928,NGC3928,15.975,3.079,9.238,0.616,0.23846520253072506,0.7154730565049815,0.04770853028870628,huge_err_hi
NGC3941,NGC3941,14.175,5.311,15.932,1.062,0.3649840011635518,1.0948832812159117,0.07298305577776162,huge_err_hi
NGC3998,NGC3998,21.925,5.212,15.636,1.042,0.5540111022228686,1.662033306668606,0.11075970232467942,huge_err_hi
NGC4034,NGC4034,32.875,4.063,12.189,0.813,0.6475704797226868,1.9427114391680604,0.12957784888371754,huge_err_hi
